acordao,ementa,relator,comarca,orgao_julgador,data_julgamento,data_publicacao,outros_numeros
1031998-38.2022.8.26.0053,"Agravo Interno em Recurso Extraordinário – Gratificação por Acúmulo de Titularidade – GAT – Instituída pela Lei Complementar Estadual de nº 1.020, de 23 de outubro de 2007, com o propósito de remunerar os Delegados de Polícia que respondam cumulativamente pelo comando de unidades e equipes operacionais e de plantão dos órgãos de execução da Polícia Civil - Necessidade da análise da
											 	




Agravo Interno em Recurso Extraordinário – Gratificação por Acúmulo de Titularidade – GAT – Instituída pela Lei Complementar Estadual de nº 1.020, de 23 de outubro de 2007, com o propósito de remunerar os Delegados de Polícia que respondam cumulativamente pelo comando de unidades e equipes operacionais e de plantão dos órgãos de execução da Polícia Civil - Necessidade da análise da legislação local, o que é vedado pela Súmula 280 - Cumulação de cargos admitida impõe a consideração independente das remunerações para fins de teto constitucional, nos termos do Tema de repercussão geral 377 – Decisão recorrida motivada – Recurso não provido.",Domingos de Siqueira Frascino,São Paulo,5ª Turma - Fazenda Pública,08/08/2023,08/08/2023,
1043703-78.2021.8.26.0114,"Delegado de Polícia.  Pretensão de exclusão da Gratificação por Acúmulo de Titularidade (GAT) dos valores utilizados para o cálculo do teto salarial, com pedido de devolução da quantia indevidamente descontada. Sentença de procedência. Recurso Fazendário. Insubsistência. Entendimento do Supremo Tribunal Federal de que a GAT não se submete ao limite remuneratório máximo
											 	




Delegado de Polícia.  Pretensão de exclusão da Gratificação por Acúmulo de Titularidade (GAT) dos valores utilizados para o cálculo do teto salarial, com pedido de devolução da quantia indevidamente descontada. Sentença de procedência. Recurso Fazendário. Insubsistência. Entendimento do Supremo Tribunal Federal de que a GAT não se submete ao limite remuneratório máximo constitucional previsto pelo art. 37, XI, da Constituição Federal (ARE 1325383/SP, Rel. Min. LUIZ FUX, j. 9/06/2021; ARE 1265979/SP, Rel. Min. DIAS TOFFOLI, j. 13/05/2020; ARE 1195489/SP, Rel. Min. ROBERTO BARROSO, j. 23/08/2019). Precedentes desta Turma Recursal (Recurso Inominado Cível 1026757-65.2020.8.26.0114, Relator: Sergio Araújo Gomes, Turma da Fazenda Pública do Foro de Campinas, Data do Julgamento: 19/08/2021; Recurso Inominado Cível 1026760-20.2020.8.26.0114, Relator: Fábio Henrique Prado de Toledo, Turma da Fazenda Pública do Foro de Campinas, Data do Julgamento: 20/04/2021; e  Recurso Inominado Cível 1018419-05.2020.8.26.0114, Relator: Ricardo Hoffmann, Turma da Fazenda Pública do Foro de Campinas, Data do Julgamento: 15/02/2021). SENTENÇA QUE BEM ANALISOU O CASO E QUE DEVE SER MANTIDA POR SEUS PRÓPRIOS FUNDAMENTOS - RECURSO A QUE SE NEGA PROVIMENTO. Sem custas. Condenação da recorrente ao pagamento de honorários advocatícios, que fixo em 10% (dez por cento) do valor da condenação.",Nelson Augusto Bernardes de Souza,Campinas,Turma da Fazenda Pública,08/08/2023,08/08/2023,
1059421-70.2022.8.26.0053,"AGRAVO INTERNO –  Decisão monocrática que negou seguimento ao recurso extraordinário.
- A questão referente à acumulação de cargos, funções ou empregos públicos e a incidência do teto remuneratório sobre cada remuneração considerada isoladamente é idêntica a matéria examinada pela Suprema Corte no leading case AI n. 612.975/MT –  Tema 377.
Nega-se provimento ao recurso.",Wanderley José Federighi(Pres. da Seção de Direito Público),São Paulo,Câmara Especial de Presidentes,08/08/2023,08/08/2023,
1001876-44.2022.8.26.0408,"EMBARGOS DE DECLARAÇÃO. Erro material. Fundamentação destoante dos limites estabelecidos na peça vestibular. Adequação. Exclusão da Gratificação por Acúmulo de Titularidade (GAT) do teto. STF, RE 602.043. Manutenção da r. sentença de primeiro grau, que julgou procedentes os pedidos. Recurso provido.",Pedro de Castro e Sousa,Ourinhos,2ª Turma Cível e Criminal,04/08/2023,07/08/2023,
1020300-84.2022.8.26.0554,"Embargos de declaração – Omissão, erro material ou contradição não encontrada - Caráter exclusivamente infringente – Recurso não conhecido.",Mariana Silva Rodrigues Dias Toyama Steiner,Santo André,1ª Turma Recursal - Fazenda Pública,07/08/2023,07/08/2023,
1006667-23.2022.8.26.0322,"RECURSO INOMINADO. DELEGADO DE POLÍCIA. TETO REDUTOR. A GAT, INSTITUÍDA PELA LCE Nº 1.020/2007, TEM FINALIDADE COMPENSATÓRIA EM RAZÃO DO ACÚMULO DE OUTRA TITULARIDADE E DO ACRÉSCIMO DE SERVIÇO, NÃO INCORPORADA AOS VENCIMENTOS, NÃO INCIDINDO SOBRE ELA VANTAGENS DE QUALQUER NATUREZA, NEM MESMO OS DESCONTOS RELATIVOS À ASSISTÊNCIA MÉDICA E CONTRIBUIÇÃO PREVIDENCIÁRIA. VERBA DE
											 	




RECURSO INOMINADO. DELEGADO DE POLÍCIA. TETO REDUTOR. A GAT, INSTITUÍDA PELA LCE Nº 1.020/2007, TEM FINALIDADE COMPENSATÓRIA EM RAZÃO DO ACÚMULO DE OUTRA TITULARIDADE E DO ACRÉSCIMO DE SERVIÇO, NÃO INCORPORADA AOS VENCIMENTOS, NÃO INCIDINDO SOBRE ELA VANTAGENS DE QUALQUER NATUREZA, NEM MESMO OS DESCONTOS RELATIVOS À ASSISTÊNCIA MÉDICA E CONTRIBUIÇÃO PREVIDENCIÁRIA. VERBA DE CARATER INDENIZATÓRIO. NÃO SUBMISSÃO AO TETO CONSTITUCIONAL. INADMITIDOS DESCONTOS A TÍTULO DE REDUTOR SALARIAL. SENTENÇA MANTIDA. RECURSO DESPROVIDO.",Octavio Santos Antunes,Lins,Turma Cível e Criminal,04/08/2023,04/08/2023,
1072446-53.2022.8.26.0053,"MANDADO DE SEGURANÇA –  DELEGADA DE POLÍCIA –  GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE –  GAT –  Servidora que cumulou cargos e recebeu vencimentos e gratificação pela cumulação de cargos –  Pretensão de impedir que a autoridade calcule o teto sobre a soma da remuneração própria com a gratificação relativa à acumulação de outro cargo de Delegado de Polícia (GAT)  – 
											 	




MANDADO DE SEGURANÇA –  DELEGADA DE POLÍCIA –  GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE –  GAT –  Servidora que cumulou cargos e recebeu vencimentos e gratificação pela cumulação de cargos –  Pretensão de impedir que a autoridade calcule o teto sobre a soma da remuneração própria com a gratificação relativa à acumulação de outro cargo de Delegado de Polícia (GAT)  –  Sentença que concedeu a segurança –  Insurgência da impetrada –  Descabimento –  Incidência do teto remuneratório de forma individualizada sobre as referidas verbas –  Temas nº 377 e nº 384 do STF –  Desconsideração da verba GAT para fins de aplicação do teto constitucional –  Concessão da segurança mantida.

REEXAME NECESSÁRIO, considerado interposto, e RECURSO VOLUNTÁRIO IMPROVIDOS.",Maria Fernanda de Toledo Rodovalho,São Paulo,2ª Câmara de Direito Público,04/08/2023,04/08/2023,
1000640-83.2021.8.26.0346,"Juízo de retratação – Artigo 1040, II, do Código de Processo Civil. Delegado de Polícia. Gratificação por Acúmulo de Função - GAT. Incidência de Imposto de Renda retido na fonte. Devolução à Turma Julgadora para confirmação ou adaptação da decisão, nos termos do art. 3º, II, ""a"", da Resolução 589/12, diante da tese firmada pelo E. TJ/SP no PUIL 011 - IRPF-INCIDÊNCIA- GAT-
											 	




Juízo de retratação – Artigo 1040, II, do Código de Processo Civil. Delegado de Polícia. Gratificação por Acúmulo de Função - GAT. Incidência de Imposto de Renda retido na fonte. Devolução à Turma Julgadora para confirmação ou adaptação da decisão, nos termos do art. 3º, II, ""a"", da Resolução 589/12, diante da tese firmada pelo E. TJ/SP no PUIL 011 - IRPF-INCIDÊNCIA- GAT- DELEGADO, Representativo nº 0000016-85.2022.8.26.9021, em que se discute a questão tratada no acórdão n. 1008614-93.2021.8.26.0566. Dissonância entre o acórdão e o mencionado julgado. Retratação do julgado diante do quanto decidido, dando provimento ao recurso inominado interposto pela ré, para julgar improcedente o pedido.",Michel Feres,Martinópolis,3ª Turma Cível,03/08/2023,03/08/2023,
1000012-13.2022.8.26.0491,"Juízo de retratação – Artigo 1040, II, do Código de Processo Civil. Delegado de Polícia. Gratificação por Acúmulo de Função - GAT. Incidência de Imposto de Renda retido na fonte. Devolução à Turma Julgadora para confirmação ou adaptação da decisão, nos termos do art. 3º, II, ""a"", da Resolução 589/12, diante da tese firmada pelo E. TJ/SP no PUIL 011 - IRPF-INCIDÊNCIA- GAT-
											 	




Juízo de retratação – Artigo 1040, II, do Código de Processo Civil. Delegado de Polícia. Gratificação por Acúmulo de Função - GAT. Incidência de Imposto de Renda retido na fonte. Devolução à Turma Julgadora para confirmação ou adaptação da decisão, nos termos do art. 3º, II, ""a"", da Resolução 589/12, diante da tese firmada pelo E. TJ/SP no PUIL 011 - IRPF-INCIDÊNCIA- GAT- DELEGADO, Representativo nº 0000016-85.2022.8.26.9021, em que se discute a questão tratada no acórdão n. 1008614-93.2021.8.26.0566. Dissonância entre o acórdão e o mencionado julgado. Retratação do julgado diante do quanto decidido, dando provimento ao recurso inominado interposto pela ré, para julgar improcedente o pedido.",Michel Feres,Rancharia,3ª Turma Cível,03/08/2023,03/08/2023,
1000786-32.2022.8.26.0042,"Recurso inominado. Gratificação de Acúmulo De Titularidade - GAT. Pretensão para que sejam cessados os descontos a título de redutor salarial. Recurso da FESP. Verba de natureza remuneratória, segundo recente entendimento fixado pela C. Turma de Uniformização dos Juizados Especiais nos autos do PUIL nº 0000016-85.2022.8.26.9021 e, ainda, segundo determinado pelo C. Supremo Tribunal
											 	




Recurso inominado. Gratificação de Acúmulo De Titularidade - GAT. Pretensão para que sejam cessados os descontos a título de redutor salarial. Recurso da FESP. Verba de natureza remuneratória, segundo recente entendimento fixado pela C. Turma de Uniformização dos Juizados Especiais nos autos do PUIL nº 0000016-85.2022.8.26.9021 e, ainda, segundo determinado pelo C. Supremo Tribunal Federal, no julgamento da Reclamação nº 57271/SP. Incidência do teto remuneratório constitucional. Mudança de entendimento em prol da necessidade de estabilização da jurisprudência. Sentença de procedência reformada. Recurso provido.",Aline de Oliveira M. B. P. de Carvalho,Altinópolis,Turma Recursal Cível e Criminal,02/08/2023,02/08/2023,
